location,city,local,parameter,value,unit
FR15039,Isère,2020-12-23T07:00:00+01:00,pm25,14.5,µg/m³
FR15039,Isère,2020-12-23T07:00:00+01:00,no2,37.1,µg/m³
FR15039,Isère,2020-12-23T07:00:00+01:00,pm10,23.4,µg/m³
FR15039,Isère,2020-12-23T06:00:00+01:00,pm25,13.1,µg/m³
FR15039,Isère,2020-12-23T06:00:00+01:00,no2,29.4,µg/m³
FR15039,Isère,2020-12-23T06:00:00+01:00,pm10,20.4,µg/m³
FR15039,Isère,2020-12-23T05:00:00+01:00,no2,23.2,µg/m³
FR15039,Isère,2020-12-23T05:00:00+01:00,pm25,15.9,µg/m³
FR15039,Isère,2020-12-23T05:00:00+01:00,pm10,15.2,µg/m³
FR15039,Isère,2020-12-23T04:00:00+01:00,pm25,18.9,µg/m³
FR15039,Isère,2020-12-23T04:00:00+01:00,pm10,23.1,µg/m³
FR15039,Isère,2020-12-23T04:00:00+01:00,no2,21.5,µg/m³
FR15039,Isère,2020-12-23T03:00:00+01:00,pm10,17.9,µg/m³
FR15039,Isère,2020-12-23T03:00:00+01:00,pm25,16.5,µg/m³
FR15039,Isère,2020-12-23T03:00:00+01:00,no2,22.2,µg/m³
FR15039,Isère,2020-12-23T02:00:00+01:00,pm25,19.7,µg/m³
FR15039,Isère,2020-12-23T02:00:00+01:00,no2,23.4,µg/m³
FR15039,Isère,2020-12-23T02:00:00+01:00,pm10,24.4,µg/m³
FR15039,Isère,2020-12-23T01:00:00+01:00,pm10,30.6,µg/m³
FR15039,Isère,2020-12-23T01:00:00+01:00,pm25,23.7,µg/m³
FR15039,Isère,2020-12-23T01:00:00+01:00,no2,21.9,µg/m³
FR15039,Isère,2020-12-23T00:00:00+01:00,pm10,33.9,µg/m³
FR15039,Isère,2020-12-23T00:00:00+01:00,no2,25.7,µg/m³
FR15039,Isère,2020-12-23T00:00:00+01:00,pm25,22.3,µg/m³
FR15039,Isère,2020-12-22T23:00:00+01:00,pm10,38.2,µg/m³
FR15039,Isère,2020-12-22T23:00:00+01:00,no2,33.8,µg/m³
FR15039,Isère,2020-12-22T23:00:00+01:00,pm25,26.1,µg/m³
FR15039,Isère,2020-12-22T22:00:00+01:00,no2,40,µg/m³
FR15039,Isère,2020-12-22T22:00:00+01:00,pm10,36.5,µg/m³
FR15039,Isère,2020-12-22T22:00:00+01:00,pm25,27.9,µg/m³
FR15039,Isère,2020-12-22T21:00:00+01:00,pm25,27,µg/m³
FR15039,Isère,2020-12-22T21:00:00+01:00,no2,49.2,µg/m³
FR15039,Isère,2020-12-22T21:00:00+01:00,pm10,41.5,µg/m³
FR15039,Isère,2020-12-22T20:00:00+01:00,pm10,35.7,µg/m³
FR15039,Isère,2020-12-22T20:00:00+01:00,no2,69.8,µg/m³
FR15039,Isère,2020-12-22T20:00:00+01:00,pm25,18.5,µg/m³
FR15039,Isère,2020-12-22T19:00:00+01:00,pm10,27.7,µg/m³
FR15039,Isère,2020-12-22T19:00:00+01:00,no2,55.6,µg/m³
FR15039,Isère,2020-12-22T19:00:00+01:00,pm25,13.4,µg/m³
FR15039,Isère,2020-12-22T18:00:00+01:00,pm25,8.8,µg/m³
FR15039,Isère,2020-12-22T18:00:00+01:00,pm10,18.4,µg/m³
FR15039,Isère,2020-12-22T18:00:00+01:00,no2,46,µg/m³
FR15039,Isère,2020-12-22T17:00:00+01:00,no2,49.3,µg/m³
FR15039,Isère,2020-12-22T17:00:00+01:00,pm25,7.2,µg/m³
FR15039,Isère,2020-12-22T17:00:00+01:00,pm10,18.2,µg/m³
FR15039,Isère,2020-12-22T16:00:00+01:00,no2,42.9,µg/m³
